invoice_id,store_id,customer_id,invoice_date,discount
1,66,746,5/7/2022,$6.29
2,28,1553,2/22/2021,$6.94
3,57,368,2/7/2023,$2.81
4,45,1161,7/10/2021,$7.48
5,93,73,9/25/2021,$9.26
6,83,305,10/30/2022,$3.53
7,59,273,2/5/2022,$6.24
8,14,413,12/13/2020,$0.89
9,22,417,8/15/2022,$9.34
10,21,1831,1/6/2023,$7.01
11,53,937,1/20/2023,$9.06
12,17,1410,4/21/2022,$1.53
13,65,1122,2/28/2023,$3.18
14,77,1148,9/14/2021,$0.12
15,34,687,12/29/2021,$9.98
16,65,593,10/27/2021,$8.95
17,34,668,5/13/2021,$3.58
18,52,632,6/17/2021,$4.79
19,46,1789,10/18/2022,$3.48
20,56,624,7/30/2021,$7.19
21,95,227,10/17/2022,$4.32
22,26,87,3/13/2022,$1.16
23,58,29,8/4/2020,$6.12
24,63,959,1/10/2021,$5.13
25,44,1493,11/13/2022,$3.54
26,25,277,5/5/2023,$0.93
27,71,908,11/14/2020,$7.94
28,95,1490,5/22/2023,$3.39
29,88,1099,3/28/2021,$7.12
30,39,709,1/1/2022,$8.45
31,42,817,7/11/2022,$9.49
32,97,743,10/24/2020,$2.04
33,81,1223,3/2/2023,$9.11
34,45,246,4/3/2022,$4.24
35,27,1815,8/10/2020,$2.07
36,89,710,12/21/2020,$3.59
37,67,668,11/29/2021,$3.15
38,93,225,10/17/2021,$4.57
39,70,1541,7/13/2021,$0.98
40,75,876,11/19/2020,$4.07
41,50,750,10/15/2022,$9.96
42,61,231,12/15/2021,$9.07
43,68,1205,7/14/2021,$5.00
44,48,1670,6/7/2023,$1.85
45,95,480,9/6/2021,$4.40
46,11,626,12/18/2020,$2.72
47,49,1814,6/8/2021,$4.36
48,23,841,11/1/2021,$0.86
49,82,927,4/1/2022,$5.17
50,22,287,10/9/2021,$7.03
51,36,1093,7/24/2022,$3.55
52,61,1676,7/31/2020,$7.85
53,87,365,11/15/2020,$4.72
54,64,836,2/11/2021,$5.66
55,53,693,11/2/2022,$1.52
56,24,1036,2/5/2023,$8.39
57,68,219,6/20/2022,$0.13
58,28,646,6/21/2023,$3.73
59,79,1814,2/1/2021,$0.45
60,69,752,4/4/2022,$6.22
61,75,917,1/4/2021,$9.62
62,14,657,6/2/2022,$5.56
63,60,1515,8/11/2020,$6.69
64,90,1616,12/13/2022,$6.01
65,84,1492,5/14/2023,$4.17
66,63,344,1/30/2022,$9.68
67,85,1745,1/19/2023,$1.01
68,20,1131,6/29/2023,$4.14
69,27,497,4/26/2023,$8.00
70,81,1807,3/6/2022,$2.63
71,64,840,6/10/2021,$9.94
72,35,1039,3/29/2021,$4.76
73,96,1116,7/23/2021,$5.07
74,83,902,12/21/2022,$6.25
75,67,802,11/4/2022,$9.16
76,76,1354,3/20/2021,$3.58
77,65,40,11/15/2022,$4.38
78,83,1523,1/9/2021,$6.45
79,33,1248,4/26/2023,$7.86
80,79,1669,10/1/2021,$7.12
81,19,814,5/26/2023,$5.46
82,28,512,10/4/2022,$0.40
83,76,1153,10/2/2021,$2.12
84,53,356,5/24/2023,$1.80
85,12,638,1/29/2022,$0.62
86,62,1377,6/3/2023,$8.22
87,13,1004,12/3/2022,$6.76
88,94,1088,9/17/2020,$9.50
89,20,802,12/22/2022,$5.46
90,69,1559,1/15/2023,$5.37
91,16,486,5/17/2022,$1.04
92,45,531,4/26/2023,$9.10
93,22,959,4/20/2022,$3.12
94,40,585,11/2/2022,$4.60
95,68,1261,2/11/2022,$4.86
