invoice_item_id,invoice_id,product_id,quantity
9001,4352,437,2
9002,3154,173,6
9003,29,76,3
9004,4593,237,3
9005,3202,924,1
9006,2142,292,1
9007,3427,378,6
9008,4252,210,3
9009,3737,267,6
9010,842,417,1
9011,2777,850,9
9012,438,998,7
9013,1929,415,6
9014,348,243,8
9015,4203,185,10
9016,3736,949,5
9017,4126,832,8
9018,3289,919,10
9019,4921,184,6
9020,3780,27,9
9021,3620,90,2
9022,4796,33,6
9023,1649,167,8
9024,1264,884,6
9025,1331,575,9
9026,229,156,7
9027,862,937,3
9028,2488,910,5
9029,1071,833,10
9030,949,613,5
9031,4871,940,8
9032,4120,924,5
9033,2094,818,6
9034,4446,546,8
9035,4702,624,7
9036,4833,307,3
9037,2545,656,6
9038,1241,585,4
9039,2151,664,9
9040,1766,167,1
9041,3684,893,7
9042,1572,737,8
9043,3498,493,4
9044,3150,654,6
9045,1071,633,6
9046,4653,365,5
9047,1300,204,7
9048,3150,93,5
9049,4558,152,3
9050,4412,191,8
9051,3466,380,5
9052,661,504,8
9053,1336,496,4
9054,711,320,4
9055,2150,829,9
9056,3995,207,7
9057,2787,803,7
9058,1728,211,7
9059,3646,32,3
9060,3497,669,1
9061,2099,606,1
9062,680,342,10
9063,1421,536,3
9064,3992,768,9
9065,4651,251,4
9066,2073,777,10
9067,2338,478,1
9068,1298,961,1
9069,4640,326,4
9070,3786,578,8
9071,4315,703,7
9072,2128,539,6
9073,3488,448,7
9074,2859,792,9
9075,2675,676,1
9076,4563,90,2
9077,4353,778,6
9078,2159,175,2
9079,2239,89,7
9080,1543,923,7
9081,2894,684,6
9082,1425,960,2
9083,1284,157,9
9084,3295,253,4
9085,131,532,9
9086,365,673,5
9087,801,685,1
9088,1205,901,6
9089,4183,223,7
9090,4398,965,3
9091,2201,165,9
9092,247,88,5
9093,4451,379,7
9094,144,99,8
9095,4411,728,5
9096,1078,948,4
9097,4319,768,1
9098,3271,885,6
9099,3008,105,8
9100,3506,979,4
9101,3154,985,1
9102,1041,453,3
9103,4898,867,10
9104,1573,67,1
9105,1478,357,1
9106,1977,366,4
9107,3320,114,4
